;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Speiseröhre (C15);75 und älter;männlich;1;410;471;549;593;607;587;654;681;828;783;935;972;998;987;998;1.046;
Speiseröhre (C15);75 und älter;männlich;2;628;691;808;911;960;954;998;1.061;1.237;1.300;1.436;1.583;1.584;1.595;1.585;1.631;
Magen (C16);0 - 44;weiblich;1;233;225;230;220;219;224;218;227;205;182;199;178;178;194;176;187;
Magen (C16);0 - 44;weiblich;2;386;380;381;375;365;368;373;378;363;323;322;318;302;320;312;313;
Magen (C16);0 - 44;männlich;1;286;313;302;267;250;267;262;268;218;236;210;228;202;209;193;199;
Magen (C16);0 - 44;männlich;2;461;490;495;454;410;415;426;433;387;369;358;357;348;337;326;318;
Magen (C16);45 - 54;weiblich;1;372;372;376;385;417;461;477;453;414;398;464;438;425;421;382;371;
Magen (C16);45 - 54;weiblich;2;615;637;642;654;691;761;817;805;753;701;749;783;741;730;686;646;
Magen (C16);45 - 54;männlich;1;617;687;704;651;649;716;795;796;711;779;698;744;737;747;672;648;
Magen (C16);45 - 54;männlich;2;1.036;1.096;1.152;1.113;1.076;1.136;1.277;1.341;1.252;1.244;1.225;1.199;1.229;1.226;1.166;1.071;
Magen (C16);55 - 64;weiblich;1;676;686;635;627;603;681;708;721;698;716;712;703;675;765;624;673;
Magen (C16);55 - 64;weiblich;2;1.153;1.133;1.099;1.063;1.037;1.104;1.209;1.248;1.236;1.223;1.236;1.239;1.199;1.268;1.192;1.135;
Magen (C16);55 - 64;männlich;1;1.504;1.499;1.371;1.351;1.271;1.270;1.284;1.396;1.402;1.358;1.425;1.506;1.461;1.453;1.495;1.443;
Magen (C16);55 - 64;männlich;2;2.422;2.469;2.353;2.248;2.142;2.089;2.147;2.299;2.384;2.331;2.394;2.492;2.536;2.473;2.511;2.465;
Magen (C16);65 - 74;weiblich;1;1.208;1.336;1.092;1.223;1.135;1.256;1.370;1.352;1.294;1.298;1.138;1.097;911;1.102;811;1.005;
Magen (C16);65 - 74;weiblich;2;2.141;2.138;2.011;1.934;1.953;1.986;2.210;2.286;2.235;2.192;2.044;1.873;1.664;1.718;1.595;1.543;
Magen (C16);65 - 74;männlich;1;2.286;2.357;2.272;2.337;2.281;2.440;2.229;2.313;2.065;2.053;2.108;1.988;1.900;1.991;1.886;1.799;
Magen (C16);65 - 74;männlich;2;3.728;3.930;3.830;3.863;3.856;3.936;3.842;3.790;3.600;3.431;3.439;3.396;3.236;3.296;3.256;3.105;
Magen (C16);75 und älter;weiblich;1;2.217;2.072;2.203;2.086;2.169;2.124;2.121;1.936;2.167;2.053;2.027;2.131;1.947;1.993;1.686;1.620;
Magen (C16);75 und älter;weiblich;2;3.636;3.397;3.450;3.404;3.458;3.489;3.495;3.312;3.411;3.524;3.419;3.499;3.439;3.288;3.053;2.660;
Magen (C16);75 und älter;männlich;1;1.849;1.973;1.984;2.077;2.292;2.269;2.365;2.361;2.360;2.423;2.458;2.481;2.252;2.466;2.172;2.154;
Magen (C16);75 und älter;männlich;2;2.981;3.123;3.224;3.337;3.614;3.776;3.863;3.957;3.932;4.001;4.094;4.174;3.935;3.947;3.836;3.521;
Darm (C18-C20);0 - 44;weiblich;1;929;934;829;982;816;795;789;754;864;770;814;769;754;801;750;733;
Darm (C18-C20);0 - 44;weiblich;2;1.704;1.702;1.600;1.657;1.622;1.452;1.430;1.391;1.470;1.474;1.441;1.437;1.389;1.422;1.420;1.358;
Darm (C18-C20);0 - 44;männlich;1;985;937;1.010;1.032;957;866;981;809;834;758;825;780;747;753;787;736;
Darm (C18-C20);0 - 44;männlich;2;1.700;1.725;1.756;1.836;1.778;1.617;1.656;1.583;1.463;1.412;1.419;1.433;1.362;1.350;1.395;1.375;
Darm (C18-C20);45 - 54;weiblich;1;1.848;1.787;1.738;2.058;2.027;1.944;1.977;1.860;2.057;1.952;1.937;1.896;1.889;2.086;1.947;1.799;
Darm (C18-C20);45 - 54;weiblich;2;3.423;3.341;3.243;3.498;3.763;3.631;3.594;3.509;3.612;3.681;3.549;3.506;3.453;3.646;3.646;3.385;
Darm (C18-C20);45 - 54;männlich;1;2.396;2.422;2.434;2.755;2.800;2.725;2.754;2.652;2.593;2.566;2.752;2.753;2.574;2.567;2.509;2.475;
Darm (C18-C20);45 - 54;männlich;2;4.233;4.380;4.392;4.743;5.038;4.988;4.954;4.908;4.738;4.667;4.804;4.975;4.765;4.598;4.531;4.434;
Darm (C18-C20);55 - 64;weiblich;1;4.648;4.324;4.266;4.185;4.035;3.782;3.619;3.689;3.621;3.688;3.672;3.600;3.619;3.969;3.874;3.734;
Darm (C18-C20);55 - 64;weiblich;2;8.913;8.156;7.816;7.734;7.551;7.197;6.840;6.807;6.789;6.854;6.887;6.792;6.743;7.092;7.320;7.080;
Darm (C18-C20);55 - 64;männlich;1;7.436;6.911;6.570;6.902;6.870;6.366;6.164;6.340;6.226;5.902;5.962;6.185;6.239;6.123;6.366;6.280;
Darm (C18-C20);55 - 64;männlich;2;13.460;12.883;12.166;12.242;12.548;12.025;11.460;11.513;11.580;11.166;10.963;11.267;11.525;11.415;11.551;11.677;
Darm (C18-C20);65 - 74;weiblich;1;7.631;7.702;7.606;7.778;7.490;7.379;6.788;6.757;6.269;6.426;6.239;5.990;5.510;5.767;5.324;4.954;
Darm (C18-C20);65 - 74;weiblich;2;14.012;14.297;14.276;14.325;14.186;13.768;13.072;12.461;11.920;11.624;11.574;11.141;10.487;10.374;10.214;9.472;
Darm (C18-C20);65 - 74;männlich;1;11.033;10.783;11.064;11.632;12.070;11.624;10.582;10.287;10.204;9.825;8.982;8.622;8.314;8.188;8.293;7.794;
Darm (C18-C20);65 - 74;männlich;2;20.564;20.532;20.521;21.224;22.147;22.058;20.536;19.285;18.897;18.418;17.218;16.124;15.574;15.279;15.272;14.872;
Darm (C18-C20);75 und älter;weiblich;1;11.490;11.774;11.571;11.655;11.712;11.756;11.693;11.151;10.855;10.831;10.897;10.932;10.905;10.833;10.875;10.645;
Darm (C18-C20);75 und älter;weiblich;2;21.129;21.649;21.641;21.614;21.721;21.845;21.847;21.257;20.500;20.256;20.352;20.472;20.439;20.334;20.266;20.032;
Darm (C18-C20);75 und älter;männlich;1;7.848;7.929;8.444;9.086;9.472;9.801;10.175;10.240;9.886;10.255;10.420;10.332;10.093;10.577;10.907;10.673;
Darm (C18-C20);75 und älter;männlich;2;14.286;14.950;15.516;16.662;17.641;18.313;19.023;19.366;19.100;19.145;19.616;19.644;19.254;19.452;20.152;20.205;
Leber (C22);0 - 44;weiblich;1;38;50;40;43;47;44;44;60;54;55;54;44;39;51;42;51;
Leber (C22);0 - 44;weiblich;2;58;69;67;63;71;70;69;86;90;86;88;77;63;73;73;76;
Leber (C22);0 - 44;männlich;1;65;66;67;67;67;60;61;70;66;67;64;65;66;64;66;62;
Leber (C22);0 - 44;männlich;2;99;98;100;102;102;94;92;100;103;101;100;100;103;100;103;98;
Leber (C22);45 - 54;weiblich;1;63;86;75;92;87;95;88;118;104;118;128;114;113;123;104;108;
Leber (C22);45 - 54;weiblich;2;95;120;124;131;139;143;141;170;175;178;199;190;175;184;177;164;
Leber (C22);45 - 54;männlich;1;214;212;236;259;247;261;287;256;254;272;280;274;276;260;250;191;
Leber (C22);45 - 54;männlich;2;316;321;343;380;378;384;420;399;384;400;416;419;423;403;387;320;
Leber (C22);55 - 64;weiblich;1;149;169;163;183;199;201;203;238;236;282;299;264;264;309;265;315;
Leber (C22);55 - 64;weiblich;2;220;241;254;269;302;316;321;359;387;426;477;447;415;462;457;471;
