;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Niere (C64);75 und älter;männlich;1;1.267;1.510;1.609;1.847;1.863;2.064;2.148;1.992;2.237;2.161;2.266;2.584;2.290;2.208;2.360;2.496;
Niere (C64);75 und älter;männlich;2;2.514;2.742;3.068;3.430;3.686;3.854;4.146;4.097;4.156;4.325;4.375;4.772;4.771;4.391;4.436;4.722;
Leukämien (C91-C95);0 - 44;weiblich;1;623;608;623;607;603;586;575;691;552;610;574;520;564;561;541;473;
Leukämien (C91-C95);0 - 44;weiblich;2;1.127;1.142;1.142;1.142;1.125;1.105;1.077;1.185;1.153;1.082;1.106;1.013;1.012;1.054;1.028;947;
Leukämien (C91-C95);0 - 44;männlich;1;812;791;908;863;851;793;841;777;800;781;760;754;723;764;697;610;
Leukämien (C91-C95);0 - 44;männlich;2;1.518;1.503;1.599;1.663;1.607;1.540;1.531;1.516;1.473;1.483;1.445;1.417;1.384;1.400;1.374;1.225;
Leukämien (C91-C95);45 - 54;weiblich;1;350;375;392;389;431;421;479;504;418;471;487;476;458;423;384;337;
Leukämien (C91-C95);45 - 54;weiblich;2;656;676;714;728;767;788;837;915;862;830;893;895;852;809;739;659;
Leukämien (C91-C95);45 - 54;männlich;1;516;563;597;612;628;645;633;642;678;716;728;676;658;627;529;517;
Leukämien (C91-C95);45 - 54;männlich;2;939;1.006;1.077;1.128;1.159;1.188;1.189;1.192;1.226;1.299;1.333;1.295;1.224;1.175;1.046;952;
Leukämien (C91-C95);55 - 64;weiblich;1;717;745;718;660;684;744;669;722;770;785;748;781;799;751;660;603;
Leukämien (C91-C95);55 - 64;weiblich;2;1.291;1.337;1.334;1.261;1.231;1.329;1.306;1.312;1.392;1.450;1.435;1.428;1.493;1.446;1.308;1.182;
Leukämien (C91-C95);55 - 64;männlich;1;1.085;1.129;1.147;1.043;1.102;1.066;994;1.115;1.171;1.187;1.246;1.106;1.192;1.146;937;1.071;
Leukämien (C91-C95);55 - 64;männlich;2;1.980;2.022;2.079;1.995;1.973;1.985;1.896;1.952;2.126;2.191;2.287;2.191;2.157;2.181;1.934;1.885;
Leukämien (C91-C95);65 - 74;weiblich;1;1.057;1.179;1.131;1.208;1.220;1.277;1.187;1.298;1.290;1.211;1.265;1.159;1.068;1.037;840;799;
Leukämien (C91-C95);65 - 74;weiblich;2;1.906;2.071;2.138;2.178;2.235;2.306;2.271;2.271;2.362;2.279;2.262;2.188;2.011;1.936;1.700;1.485;
Leukämien (C91-C95);65 - 74;männlich;1;1.558;1.662;1.815;1.836;2.009;1.900;1.911;2.026;1.964;1.941;2.020;1.789;1.627;1.635;1.288;1.394;
Leukämien (C91-C95);65 - 74;männlich;2;3.059;2.986;3.246;3.368;3.540;3.600;3.495;3.594;3.612;3.541;3.591;3.438;3.055;2.966;2.602;2.415;
Leukämien (C91-C95);75 und älter;weiblich;1;1.458;1.550;1.460;1.527;1.526;1.585;1.754;1.733;1.752;1.842;1.993;1.927;1.961;1.969;1.680;1.551;
Leukämien (C91-C95);75 und älter;weiblich;2;2.565;2.724;2.691;2.677;2.749;2.818;3.044;3.181;3.172;3.292;3.515;3.594;3.542;3.583;3.291;2.886;
Leukämien (C91-C95);75 und älter;männlich;1;1.075;1.179;1.275;1.391;1.469;1.631;1.741;1.882;1.880;1.911;2.094;2.077;2.153;2.273;2.016;1.951;
Leukämien (C91-C95);75 und älter;männlich;2;1.996;2.072;2.231;2.447;2.618;2.864;3.096;3.333;3.482;3.509;3.708;3.857;3.896;4.040;3.887;3.580;
